isLong,bias0,bias1,prob
false,5,-5,0.010000000000000005
false,5,1,0.05
true,5,1,0.029999999999999995
true,1,1,0.029999999999999995
false,1,1,0.17
false,-5,1,0.020000000000000004
false,-5,-5,0.09000000000000002
true,-5,-5,0.010000000000000005
true,-5,-1,0.11000000000000001
true,5,-1,0.04000000000000001
true,1,-1,0.010000000000000005
false,1,-1,0.10000000000000002
false,-5,-1,0.05
false,-1,-1,0.010000000000000005
false,0,-1,0.010000000000000005
false,0,5,0.010000000000000005
false,1,5,0.22
false,1,0,0.010000000000000005
true,1,5,0.020000000000000004
