isLong,bias0,bias1,prob
false,1,1,0.07
false,-5,1,0.09000000000000002
true,-5,1,0.07
true,-5,5,0.010000000000000005
true,0,5,0.09000000000000002
true,-1,5,0.06
true,5,5,0.020000000000000004
true,5,-5,0.17
true,-1,-5,0.06
false,-1,-5,0.14
false,-1,5,0.04000000000000001
true,-1,1,0.010000000000000005
true,1,-5,0.04000000000000001
true,-5,-5,0.020000000000000004
true,0,-5,0.05
true,0,1,0.06
