0,1,prob
0.275,0.925,0.06
0.925,0.275,0.07
0.525,0.925,0.029999999999999995
0.525,0.625,0.05
0.925,0.475,0.11000000000000001
0.625,0.925,0.07999999999999999
0.925,0.525,0.09000000000000002
0.925,0.625,0.17
0.475,0.925,0.10000000000000002
0.475,0.625,0.029999999999999995
0.625,0.275,0.05
0.475,0.275,0.020000000000000004
0.275,0.525,0.029999999999999995
0.625,0.525,0.029999999999999995
0.625,0.475,0.04000000000000001
0.275,0.625,0.010000000000000005
0.525,0.275,0.010000000000000005
0.525,0.475,0.010000000000000005
0.475,0.525,0.010000000000000005
