0,1,prob
0.775,0.975,0.06
0.825,0.775,0.15
0.825,0.975,0.06
0.975,0.825,0.2
0.675,0.775,0.05
0.775,0.675,0.020000000000000004
0.125,0.675,0.05
0.975,0.775,0.05
0.675,0.975,0.029999999999999995
0.825,0.125,0.04000000000000001
0.975,0.125,0.020000000000000004
0.775,0.825,0.04000000000000001
0.675,0.825,0.010000000000000005
0.825,0.675,0.05
0.975,0.675,0.04000000000000001
0.125,0.775,0.04000000000000001
0.125,0.825,0.020000000000000004
0.125,0.975,0.04000000000000001
0.675,0.125,0.010000000000000005
0.775,0.125,0.020000000000000004
